query_id,rank,doc_id,score
4641,1,376148,44.6926
4641,2,580025,27.5542
4641,3,497993,25.5488
4641,4,32833,23.76
4641,5,527939,23.0723
4641,6,199971,22.931
4641,7,253614,22.5119
4641,8,416189,22.3793
4641,9,179702,21.4011
4641,10,478413,21.0852
5503,1,319307,30.9389
5503,2,387218,30.3187
5503,3,218622,30.0135
5503,4,181360,29.6933
5503,5,256010,28.7772
5503,6,593976,28.5543
5503,7,497530,28.3127
5503,8,116446,28.2795
5503,9,205515,28.0492
5503,10,222030,27.808
7803,1,371621,41.1131
7803,2,197863,41.0878
7803,3,202432,40.6652
7803,4,305770,40.6202
7803,5,16292,40.5353
7803,6,168006,40.1013
7803,7,273598,39.9355
7803,8,185401,39.8303
7803,9,231646,37.9505
7803,10,482238,37.2086
7017,1,301849,19.5916
7017,2,36723,18.899
7017,3,514562,17.3605
7017,4,455456,15.1113
7017,5,350460,14.7341
7017,6,177347,14.6794
7017,7,352144,14.637
7017,8,403918,14.0609
7017,9,446629,13.7176
7017,10,231098,13.6196
10152,1,371515,52.9835
10152,2,549181,52.8175
10152,3,113585,50.927
10152,4,221572,36.117
10152,5,3939,32.7976
10152,6,165919,30.9957
10152,7,536174,30.657
10152,8,212981,30.1963
10152,9,516797,29.8959
10152,10,258306,29.6541
3451,1,251536,32.6014
3451,2,71350,30.4231
3451,3,53047,30.2201
3451,4,340169,29.5298
3451,5,27401,29.2242
3451,6,536345,29.1468
3451,7,424437,28.8062
3451,8,480967,28.6526
3451,9,528518,28.4569
3451,10,285029,28.2904
4804,1,78259,18.9859
4804,2,137984,18.5758
4804,3,76640,18.3178
4804,4,418888,18.2927
4804,5,483485,18.1329
4804,6,463599,17.656
4804,7,401677,17.6553
4804,8,227910,17.5089
4804,9,583631,17.1305
4804,10,562259,17.0021
7911,1,57711,42.6959
7911,2,143066,37.1043
7911,3,582736,35.8143
7911,4,546115,35.2909
7911,5,36723,34.8924
7911,6,271568,34.6879
7911,7,278460,34.374
7911,8,94690,34.2257
7911,9,148728,34.1233
7911,10,406872,33.2085
10809,1,314410,36.4907
10809,2,286141,35.0909
10809,3,25550,30.6874
10809,4,469125,30.6119
10809,5,543811,30.4558
10809,6,93890,30.4299
10809,7,379314,29.8259
10809,8,62955,29.5021
10809,9,475199,29.249
10809,10,153179,29.2235
6715,1,533357,31.4836
6715,2,593760,30.5755
6715,3,268241,30.2074
6715,4,117415,29.9213
6715,5,212470,29.4151
6715,6,295224,29.1571
6715,7,518563,29.1096
6715,8,568526,28.7062
6715,9,356129,28.1408
6715,10,482005,28.122
2388,1,86855,19.5523
2388,2,304081,19.0526
2388,3,300287,18.7262
2388,4,71816,18.7242
2388,5,60508,18.4301
2388,6,132078,18.35
2388,7,390619,18.2018
2388,8,104988,17.3028
2388,9,396540,17.2438
2388,10,273179,16.9125
753,1,79511,15.7001
753,2,370857,15.3632
753,3,122185,14.7516
753,4,51729,14.706
753,5,158738,14.2247
753,6,539244,14.0006
753,7,502126,13.7365
753,8,317148,13.6762
753,9,385251,13.5501
753,10,529186,13.4279
4465,1,174033,37.8166
4465,2,266342,36.6667
4465,3,375708,35.8394
4465,4,81046,35.5491
4465,5,8849,35.5452
4465,6,475896,35.1498
4465,7,371717,34.892
4465,8,174543,34.6441
4465,9,427322,34.548
4465,10,90591,34.3963
7326,1,35340,31.4909
7326,2,404339,27.632
7326,3,87535,27.498
7326,4,499536,26.5269
7326,5,257656,25.7497
7326,6,272008,25.5765
7326,7,343638,24.0899
7326,8,458546,23.797
7326,9,503981,23.7725
7326,10,384850,23.6334
5951,1,599860,25.5679
5951,2,418034,24.3307
5951,3,196405,22.1815
5951,4,259777,21.6996
5951,5,589470,21.3912
5951,6,27444,20.6142
5951,7,556367,20.1796
5951,8,285525,20.0968
5951,9,502594,19.4333
5951,10,452133,18.8697
