query_id,rank,doc_id,score
4641,1,44594,0.654813
4641,2,254572,0.647461
4641,3,406219,0.633527
4641,4,438571,0.613637
4641,5,244408,0.592019
4641,6,225235,0.584451
4641,7,497993,0.57892
4641,8,323686,0.573025
4641,9,88327,0.570791
4641,10,213673,0.570038
5503,1,146277,0.638685
5503,2,61623,0.622272
5503,3,565868,0.610762
5503,4,344186,0.606087
5503,5,525959,0.605896
5503,6,181360,0.598228
5503,7,319307,0.597337
5503,8,360193,0.588174
5503,9,325865,0.582305
5503,10,466145,0.576541
7803,1,386532,0.530635
7803,2,16292,0.530559
7803,3,371621,0.493097
7803,4,416286,0.481079
7803,5,482238,0.46548
7803,6,270345,0.461916
7803,7,548688,0.461743
7803,8,231646,0.461285
7803,9,195824,0.447364
7803,10,36346,0.44186
7017,1,212390,0.535863
7017,2,337135,0.534414
7017,3,371044,0.533128
7017,4,460270,0.531083
7017,5,294867,0.529474
7017,6,534010,0.528568
7017,7,191688,0.524679
7017,8,485972,0.518229
7017,9,408537,0.512385
7017,10,222363,0.509219
10152,1,113585,0.818031
10152,2,371515,0.751541
10152,3,549181,0.73344
10152,4,236591,0.59112
10152,5,37032,0.559814
10152,6,508144,0.557199
10152,7,516797,0.545006
10152,8,384642,0.541823
10152,9,256818,0.531876
10152,10,557350,0.512775
3451,1,165970,0.689008
3451,2,310683,0.664858
3451,3,41852,0.656341
3451,4,471911,0.653475
3451,5,27015,0.644713
3451,6,498561,0.625193
3451,7,40831,0.616236
3451,8,137117,0.606679
3451,9,433730,0.599736
3451,10,242835,0.594538
4804,1,372320,0.572644
4804,2,190919,0.569222
4804,3,583646,0.540423
4804,4,583651,0.539307
4804,5,104395,0.537883
4804,6,439900,0.532299
4804,7,162456,0.51002
4804,8,273169,0.501051
4804,9,48488,0.498164
4804,10,293084,0.491521
7911,1,57711,0.811033
7911,2,131996,0.731939
7911,3,582736,0.591435
7911,4,406872,0.578616
7911,5,18950,0.569715
7911,6,127527,0.559932
7911,7,172509,0.553993
7911,8,584295,0.544017
7911,9,486058,0.528495
7911,10,402593,0.527451
10809,1,99131,0.629225
10809,2,329923,0.617696
10809,3,379314,0.609103
10809,4,286141,0.602533
10809,5,469125,0.572384
10809,6,597679,0.568073
10809,7,419138,0.55319
10809,8,103362,0.537522
10809,9,63091,0.535093
10809,10,306815,0.529895
6715,1,476829,0.63108
6715,2,195455,0.626231
6715,3,524513,0.615709
6715,4,491644,0.610037
6715,5,568526,0.601057
6715,6,209863,0.596414
6715,7,464871,0.593039
6715,8,25195,0.582659
6715,9,155461,0.575103
6715,10,499154,0.573546
2388,1,104988,0.708458
2388,2,316149,0.698417
2388,3,86855,0.669641
2388,4,72683,0.609929
2388,5,105634,0.583602
2388,6,573754,0.581285
2388,7,88345,0.575588
2388,8,461177,0.570948
2388,9,360264,0.570795
2388,10,491090,0.570794
753,1,451020,0.588226
753,2,313361,0.532749
753,3,283505,0.517221
753,4,540634,0.515008
753,5,428513,0.511567
753,6,402273,0.508467
753,7,299211,0.50705
753,8,11569,0.506692
753,9,527037,0.505961
753,10,95441,0.505616
4465,1,174033,0.667578
4465,2,71253,0.646317
4465,3,379353,0.63986
4465,4,46381,0.634106
4465,5,176105,0.604075
4465,6,319458,0.598913
4465,7,392163,0.596222
4465,8,132881,0.594834
4465,9,106786,0.588
4465,10,14145,0.586516
7326,1,227542,0.663579
7326,2,340947,0.651383
7326,3,243140,0.636394
7326,4,147573,0.614358
7326,5,294718,0.577879
7326,6,404339,0.573551
7326,7,182462,0.56908
7326,8,395357,0.560649
7326,9,593445,0.558804
7326,10,544576,0.547086
5951,1,596834,0.605083
5951,2,493342,0.58896
5951,3,62702,0.585163
5951,4,374480,0.58358
5951,5,280835,0.582432
5951,6,107339,0.575611
5951,7,486707,0.57382
5951,8,389560,0.573756
5951,9,385766,0.572543
5951,10,284051,0.570525
5653,1,588247,0.670501
5653,2,417751,0.467217
5653,3,53378,0.46408
5653,4,33155,0.454062
5653,5,400647,0.450834
5653,6,117801,0.450787
5653,7,583716,0.447412
5653,8,60165,0.446822
5653,9,361172,0.427233
5653,10,223971,0.423084
10827,1,41330,0.63062
10827,2,576391,0.609588
10827,3,290105,0.604821
10827,4,17166,0.598113
10827,5,396852,0.596172
10827,6,38532,0.595843
10827,7,169232,0.590803
10827,8,195637,0.585236
10827,9,273497,0.583703
10827,10,159921,0.579948
9771,1,203960,0.410975
9771,2,252547,0.407991
9771,3,29540,0.400605
9771,4,582459,0.398541
9771,5,64213,0.391532
9771,6,176223,0.380052
9771,7,306731,0.375261
9771,8,388854,0.370443
9771,9,463195,0.362382
9771,10,542258,0.361649
7105,1,496096,0.643993
7105,2,72652,0.553991
7105,3,394702,0.523811
7105,4,298998,0.523477
7105,5,34688,0.482337
7105,6,400747,0.478991
7105,7,523303,0.465326
7105,8,25441,0.460327
7105,9,187110,0.45719
7105,10,472470,0.427979
9332,1,271243,0.643847
9332,2,157729,0.641728
9332,3,263321,0.624804
9332,4,58875,0.61113
9332,5,173088,0.597724
9332,6,160028,0.594023
9332,7,178521,0.587231
9332,8,48893,0.562625
9332,9,581127,0.545183
9332,10,455168,0.544975
3724,1,497561,0.759251
3724,2,396852,0.689246
3724,3,311996,0.664019
3724,4,480036,0.643268
3724,5,592709,0.635676
3724,6,565429,0.626445
3724,7,273497,0.60903
3724,8,159921,0.605237
3724,9,509124,0.605032
3724,10,477021,0.595431
5853,1,263546,0.611111
5853,2,387722,0.586402
5853,3,284318,0.567162
5853,4,404973,0.552501
5853,5,383682,0.551891
5853,6,583916,0.545554
5853,7,431811,0.542157
5853,8,51593,0.541905
5853,9,5657,0.541279
5853,10,105634,0.537927
6832,1,471782,0.574103
6832,2,272807,0.537175
6832,3,566392,0.532057
6832,4,229546,0.511849
6832,5,365462,0.508817
6832,6,214944,0.496614
6832,7,45519,0.496126
6832,8,271243,0.49543
6832,9,196997,0.489427
6832,10,96851,0.484444
6807,1,332567,0.849867
6807,2,517637,0.692059
6807,3,8003,0.673485
6807,4,95278,0.62537
6807,5,249360,0.60173
6807,6,350607,0.601502
6807,7,527519,0.594664
6807,8,105391,0.586794
6807,9,326413,0.584804
6807,10,589234,0.581556
570,1,240562,0.702593
570,2,477175,0.660197
570,3,97805,0.659276
570,4,79375,0.649074
570,5,532839,0.636688
570,6,555377,0.634834
570,7,120394,0.628184
570,8,332605,0.627866
570,9,136673,0.627599
570,10,85658,0.624464
7279,1,476834,0.698895
7279,2,66119,0.683771
7279,3,341235,0.671708
