query_id,rank,doc_id,score
6635,1,235531,0.7
6635,2,3656,0.5751607
6635,3,467594,0.4821524
6635,4,343452,0.36226535
6635,5,545036,0.3
6635,6,587137,0.24357367
6635,7,498752,0.21631924
6635,8,401818,0.2086091
6635,9,283168,0.15904395
6635,10,178296,0.14939561
3177,1,480315,0.7
3177,2,539263,0.6252826
3177,3,138383,0.3
3177,4,288679,0.25361151
3177,5,370244,0.24819551
3177,6,106863,0.23126168
3177,7,270992,0.22753553
3177,8,500486,0.18521156
3177,9,367960,0.16400975
3177,10,172703,0.15498992
4600,1,260984,0.78677173
4600,2,379492,0.50225277
4600,3,14035,0.43839565
4600,4,392885,0.3
4600,5,482415,0.29673326
4600,6,89181,0.19571968
4600,7,577578,0.11349515
4600,8,160625,0.1061962
4600,9,590364,0.09300427
4600,10,388391,0.06359387
7513,1,391215,0.79490737
7513,2,41577,0.7
7513,3,408524,0.28569944
7513,4,41176,0.18965845
7513,5,31779,0.16973619
7513,6,520963,0.1407155
7513,7,99568,0.13281259
7513,8,575509,0.12486486
7513,9,275334,0.11384303
7513,10,172569,0.10216939
766,1,163711,0.72914087
766,2,27987,0.7
766,3,2996,0.63520036
766,4,299591,0.59629797
766,5,274435,0.35602518
766,6,552768,0.33404867
766,7,104857,0.1209053
766,8,62908,0.06589247
766,9,333583,0.06313305
766,10,76285,0.06176234
6562,1,473605,0.7
6562,2,126899,0.31365364
6562,3,282744,0.3
6562,4,183880,0.28789203
6562,5,182443,0.27227856
6562,6,510485,0.23402928
6562,7,204677,0.23186985
6562,8,549684,0.18289503
6562,9,547737,0.17857618
6562,10,72965,0.17737119
2076,1,278824,0.7
2076,2,184646,0.64992218
2076,3,541809,0.40098092
2076,4,328073,0.3
2076,5,527776,0.29820184
2076,6,518624,0.26561542
2076,7,7423,0.17410789
2076,8,325118,0.14870224
2076,9,454951,0.12579802
2076,10,77214,0.09623475
5503,1,146277,0.7
5503,2,319307,0.53424949
5503,3,61623,0.51512133
5503,4,181360,0.42493359
5503,5,565868,0.38547084
5503,6,344186,0.33281089
5503,7,525959,0.33065944
5503,8,387218,0.240573
5503,9,218622,0.21132901
5503,10,360193,0.13103598
1310,1,101103,1.0
1310,2,565972,0.32130329
1310,3,235624,0.29373448
1310,4,366448,0.24275353
1310,5,277500,0.18671359
1310,6,354883,0.14862535
1310,7,95869,0.10814578
1310,8,139978,0.10086708
1310,9,143728,0.09909724
1310,10,155624,0.09561571
9329,1,93727,0.7
9329,2,326991,0.3
9329,3,38545,0.23363988
9329,4,334383,0.1165141
9329,5,289853,0.10694849
9329,6,49893,0.08807089
9329,7,510061,0.05241104
9329,8,262591,0.04909728
9329,9,260129,0.04132118
9329,10,453524,0.02364451
3254,1,443511,1.0
3254,2,505763,0.30792151
3254,3,548682,0.08042652
3254,4,134239,0.07391878
3254,5,355410,0.07385946
3254,6,531953,0.07124584
3254,7,75053,0.05986139
3254,8,541032,0.05956509
3254,9,116921,0.05142433
3254,10,502358,0.02740924
3771,1,521712,0.7
3771,2,490384,0.44186
3771,3,128471,0.33498717
3771,4,490113,0.19871258
3771,5,24912,0.19546479
3771,6,548340,0.17910291
3771,7,96211,0.1046186
3771,8,306130,0.10156481
3771,9,59994,0.0932952
3771,10,495826,0.07271354
6832,1,471782,0.75556264
6832,2,272807,0.41168985
6832,3,566392,0.37173178
6832,4,45519,0.33114819
6832,5,420587,0.3
6832,6,229546,0.28640501
6832,7,552346,0.25874704
6832,8,365462,0.19028876
6832,9,410194,0.11664178
6832,10,214944,0.09501556
2383,1,520047,0.7
2383,2,17215,0.54517212
2383,3,524134,0.45127533
2383,4,209706,0.18354862
2383,5,158431,0.10322602
2383,6,207437,0.09625049
2383,7,327232,0.09307324
2383,8,10103,0.06820325
2383,9,158268,0.04761655
2383,10,46893,0.04590754
6009,1,541730,0.78752155
6009,2,78816,0.7
6009,3,569627,0.27635084
6009,4,506460,0.23681321
6009,5,10017,0.17279196
6009,6,443804,0.12394842
6009,7,198583,0.11663862
6009,8,228983,0.11322184
6009,9,208907,0.0768661
6009,10,490584,0.01953432
4265,1,157553,1.0
4265,2,431109,0.38857394
4265,3,372283,0.2015581
4265,4,315964,0.11571743
4265,5,443188,0.10984623
4265,6,267293,0.0709299
4265,7,532490,0.06283096
4265,8,194784,0.05157437
4265,9,287783,0.05096511
4265,10,52404,0.04602704
2051,1,341192,0.7
2051,2,372677,0.65195153
2051,3,135176,0.62127861
2051,4,367071,0.54620152
2051,5,484688,0.53996498
2051,6,43245,0.51687352
2051,7,484599,0.36269542
2051,8,69915,0.30663165
2051,9,270992,0.3
2051,10,112223,0.29462362
5150,1,296165,0.7
5150,2,451897,0.41093428
5150,3,48404,0.33221033
5150,4,493638,0.3
5150,5,428973,0.26430699
5150,6,350237,0.22370197
5150,7,299840,0.2002748
5150,8,140500,0.16773191
5150,9,34108,0.1523434
5150,10,236194,0.152195
6121,1,412142,0.7
6121,2,315275,0.3
6121,3,482638,0.20237717
6121,4,67320,0.19855565
6121,5,2348,0.18736744
6121,6,39495,0.13333242
6121,7,452121,0.1271631
6121,8,124180,0.11925343
6121,9,521987,0.08288439
6121,10,412056,0.0807082
9481,1,132760,1.0
9481,2,30417,0.52650584
9481,3,569953,0.50142148
9481,4,287781,0.43200198
9481,5,402240,0.41233189
9481,6,424427,0.13037194
9481,7,242124,0.12834233
9481,8,293005,0.07104647
9481,9,289064,0.05542419
9481,10,451855,0.05502522
7145,1,205280,1.0
7145,2,301580,0.56645686
7145,3,416839,0.55128635
7145,4,454596,0.44459599
7145,5,343040,0.43363856
7145,6,574383,0.33676472
7145,7,311192,0.18739753
7145,8,138383,0.14214586
7145,9,81458,0.10089869
7145,10,379311,0.08438574
5993,1,94373,0.7438797
5993,2,274043,0.7
5993,3,416796,0.69442644
5993,4,353911,0.67245201
5993,5,544858,0.50907135
5993,6,362037,0.48518018
5993,7,431212,0.46130334
5993,8,160193,0.38169122
5993,9,886,0.37305226
5993,10,397538,0.14754033
957,1,264075,0.93332452
957,2,446870,0.7
957,3,591357,0.6737741
957,4,540334,0.6253719
957,5,436119,0.31097741
957,6,75195,0.23139775
957,7,4783,0.19914615
957,8,71338,0.19583429
957,9,18647,0.16877439
957,10,564475,0.1411866
3594,1,525247,0.7
3594,2,58597,0.50834451
3594,3,532669,0.50828523
3594,4,246882,0.3698542
3594,5,119298,0.32483027
3594,6,564957,0.3
3594,7,337281,0.23197646
3594,8,113822,0.22521433
3594,9,452562,0.14915101
3594,10,229276,0.09784634
3394,1,445971,0.7
3394,2,342258,0.33531623
3394,3,493366,0.33253255
3394,4,224765,0.3
3394,5,358997,0.24152095
3394,6,383399,0.23072397
3394,7,114092,0.17746909
3394,8,368124,0.14229994
3394,9,408524,0.08572718
3394,10,528034,0.06957493
3859,1,411375,0.7
3859,2,189587,0.54798908
3859,3,131854,0.39970871
3859,4,502514,0.30568596
3859,5,502242,0.3
3859,6,300229,0.23240631
3859,7,378616,0.21693901
3859,8,222914,0.17230952
3859,9,23983,0.16433638
3859,10,307173,0.16244367
4605,1,526384,0.84372432
4605,2,373717,0.8360527
4605,3,229310,0.69366805
4605,4,354896,0.59049231
4605,5,313306,0.48497621
4605,6,538582,0.25255
4605,7,152446,0.19957287
4605,8,462668,0.08148748
4605,9,479527,0.07630569
4605,10,218045,0.06908162
2598,1,314007,0.7
2598,2,411021,0.31100956
2598,3,79469,0.3
2598,4,429460,0.28786938
2598,5,245931,0.24758408
2598,6,380241,0.18432713
2598,7,394924,0.1593915
2598,8,376126,0.14481274
2598,9,311834,0.12887396
2598,10,594655,0.12261072
2857,1,501384,0.7
2857,2,474575,0.3
2857,3,127566,0.26483339
2857,4,233732,0.25129121
2857,5,566074,0.17452633
2857,6,553277,0.15850379
2857,7,198298,0.15261611
2857,8,207368,0.13395864
2857,9,276778,0.07264166
2857,10,516818,0.06265115
475,1,366761,0.84679279
475,2,504317,0.7
475,3,58611,0.6375487
475,4,131483,0.60545043
475,5,431685,0.49521704
475,6,494880,0.40475869
475,7,71338,0.28521256
475,8,140097,0.26804484
475,9,339463,0.22296157
475,10,8415,0.16817604
3615,1,13275,0.7
3615,2,4181,0.46902911
3615,3,335991,0.3
3615,4,581973,0.27193343
3615,5,329497,0.20656041
3615,6,183856,0.17757565
3615,7,344526,0.13755834
3615,8,224434,0.09708135
3615,9,577837,0.08410913
3615,10,134109,0.07482262
5254,1,183100,0.7
5254,2,527519,0.64432625
5254,3,276860,0.46309626
5254,4,550642,0.40484035
5254,5,18939,0.36282887
5254,6,531066,0.34457608
5254,7,122260,0.3
5254,8,144005,0.27064153
5254,9,332567,0.22410219
5254,10,105607,0.19210257
5347,1,352930,0.78344542
5347,2,306600,0.3
5347,3,223382,0.26541927
5347,4,323498,0.25092257
5347,5,43142,0.23396338
5347,6,585241,0.2309578
5347,7,478426,0.21008396
5347,8,201856,0.20795905
5347,9,287857,0.17365063
5347,10,519692,0.15834686
6792,1,296859,0.7
6792,2,546493,0.3
6792,3,283008,0.23936956
6792,4,251813,0.17583575
6792,5,298551,0.10601971
6792,6,326724,0.10364994
6792,7,251100,0.0847781
6792,8,501748,0.07383658
6792,9,100188,0.04897174
6792,10,317365,0.04729681
503,1,243357,0.7
503,2,237713,0.61652642
