query_id,rank,doc_id,score
10639,1,131391,0.03079839
10639,2,105340,0.0305789
10639,3,178386,0.01639344
10639,4,235628,0.01639344
10639,5,19551,0.01612903
10639,6,531665,0.01612903
10639,7,163353,0.015625
10639,8,568411,0.015625
10639,9,590276,0.01538462
10639,10,157627,0.01538462
6635,1,587137,0.02967033
6635,2,545036,0.01639344
6635,3,235531,0.01639344
6635,4,481169,0.01612903
6635,5,3656,0.01612903
6635,6,334162,0.01587302
6635,7,467594,0.01587302
6635,8,558703,0.015625
6635,9,343452,0.015625
6635,10,139094,0.01538462
604,1,535673,0.01639344
604,2,436128,0.01639344
604,3,547574,0.01612903
604,4,261622,0.01612903
604,5,202767,0.01587302
604,6,576621,0.01587302
604,7,571430,0.015625
604,8,235470,0.015625
604,9,258504,0.01538462
604,10,451443,0.01538462
3177,1,539263,0.03225806
3177,2,143238,0.02987737
3177,3,500486,0.02921109
3177,4,138383,0.01639344
3177,5,480315,0.01639344
3177,6,367960,0.01587302
3177,7,288679,0.01587302
3177,8,172703,0.015625
3177,9,370244,0.015625
3177,10,106863,0.01538462
1416,1,430728,0.03278689
1416,2,439502,0.03102453
1416,3,293652,0.0300905
1416,4,404429,0.01612903
1416,5,518624,0.01612903
1416,6,192083,0.01587302
1416,7,226600,0.015625
1416,8,11659,0.015625
1416,9,108890,0.01538462
1416,10,20987,0.01515152
26,1,176284,0.03278689
26,2,227910,0.01612903
26,3,580172,0.01612903
26,4,338406,0.01587302
26,5,336468,0.01587302
26,6,186504,0.015625
26,7,274832,0.015625
26,8,425352,0.01538462
26,9,500755,0.01538462
26,10,399013,0.01515152
4600,1,260984,0.03226646
4600,2,590364,0.03033088
4600,3,577578,0.0298574
4600,4,392885,0.01639344
4600,5,89181,0.01612903
4600,6,379492,0.01612903
4600,7,14035,0.01587302
4600,8,482415,0.015625
4600,9,388391,0.01538462
4600,10,160625,0.01538462
1670,1,493792,0.03252247
1670,2,393898,0.03252247
1670,3,62966,0.01587302
1670,4,243232,0.01587302
1670,5,265369,0.015625
1670,6,327267,0.015625
1670,7,425020,0.01538462
1670,8,38174,0.01538462
1670,9,8312,0.01515152
1670,10,396069,0.01515152
6959,1,229573,0.01639344
6959,2,208331,0.01639344
6959,3,120288,0.01612903
6959,4,577573,0.01612903
6959,5,445943,0.01587302
6959,6,39696,0.01587302
6959,7,517961,0.015625
6959,8,116846,0.015625
6959,9,574365,0.01538462
6959,10,544506,0.01538462
7513,1,391215,0.03252247
7513,2,41577,0.01639344
7513,3,408524,0.01612903
7513,4,41176,0.01587302
7513,5,31779,0.01587302
7513,6,99568,0.015625
7513,7,520963,0.015625
7513,8,575509,0.01538462
7513,9,275334,0.01538462
7513,10,364735,0.01515152
2891,1,59303,0.01639344
2891,2,31117,0.01639344
2891,3,35709,0.01612903
2891,4,295121,0.01612903
2891,5,216590,0.01587302
2891,6,172457,0.01587302
2891,7,595309,0.015625
2891,8,87102,0.015625
2891,9,564759,0.01538462
2891,10,589505,0.01538462
766,1,163711,0.03201844
766,2,27987,0.01639344
